title,company,location,salary,description,job_url
Multiple Roles,Ocean Bar & Kitchen,"Henley Beach, Adelaide SA",N/A,"Join Our Team at Ocean Bar & Kitchen - Henley Beach📍Location: Henley Beach, Adelaide🌊Best Coastal View in AdelaideOcean Bar & Kitchen, located right in the heart of Henley Beach, offers breathtaking views of the coastline and a vibrant atmosphere. We're looking for passionate and customer-focused individuals to join our team in the following roles:BartendersWaiters/WaitressesHosts/HostessesWhether you're looking for casual, part-time, or full-time hours, we have a position for you!What We Offer:Stunning coastal locationwith the best view in Adelaide.Flexible hoursto suit your lifestyle.Afun and dynamic teamin a fast-paced, welcoming environment.Competitive payand tips.SPONSORSHIPS AVAILABLE FOR THE RIGHT CANDIDATESKey Responsibilities:Bartenders: Crafting cocktails, managing bar orders, and delivering exceptional service.Waiters/Waitresses: Providing attentive service, taking orders, and ensuring customer satisfaction.Hosts/Hostesses: Greeting guests, managing reservations, and ensuring a smooth customer experience.Skills & Experience:Previous experience in hospitality is preferred but not essential.A passion for excellent customer service.A positive and energetic attitude.Flexibility and the ability to work across a range of shifts.If you're ready to work in a vibrant, beachside atmosphere and deliver exceptional service, we’d love to hear from you!How to Apply:Send your resume and a brief cover letter outlining your availability tooperationsmanager@oceanbarandkitchen.com.auor drop by in person. We look forward to having you as part of our team!Ocean Bar & Kitchen – Where great food, great drinks, and great views come together. 🌊🍸🍽️",https://www.seek.com.au/job/86040301?type=standard&ref=search-standalone#sol=a8298c8a5b3c961335ac5f960d8a6130ae7dc55d
Experienced Dog & Cat Groomers with Sponsorship Opportunities Available,Rufus & Coco Australia,Sydney NSW,"$60,000 – $73,200 per year","The Fur Salon by Rufus & Coco is seeking experienced pet groomers and to join our luxury salons in Mosman, Balgowlah and Queens Park.   We pride ourselves on style cuts and offer everything from a standard groom for dogs and cats, through to massages and facials, so that pet parents can pamper their furry friends as well as they would themselves (if not more!).We have full-time roles available for experienced groomers. You’ll provide pet grooming services, manage and sell a retail collection, and maintain our reputation for quality and service!Learn more about us at www.thefursalon.com.au and www.instagram.com/thefursalon.Why The Fur Salon?The Fur Salon is operated by Rufus & Coco, Australia’s most awarded pet care brandAttractive salary package above industry average plus weekly bonusesSponsorship Opportunities AvailableNew, state-of-the-art electric bath, tables and cutting equipmentServicing friendly clienteleGreat team cultureBeautiful working environmentA supportive team, including a master groomer, who will dedicate time to train you and help you perfect your grooming skillsYou will have:For Pet Groomers:At least 18 months experience providing grooming services within a dog or pet grooming salon or 6 months experience and has completed a grooming qualification. Cat grooming skills are valuedGood scissor technique and dog handling skills - able to handle a diverse range of dogs including various breeds, sizes and agesTake pride in maintaining a high standard of personal and salon presentationComputer proficient – use of word programsStrong customer service and selling skillsBe resourceful and happy to work independentlyA willingness to learnAre you the paw-fect fit?Hit “Apply” or email your resume tohello@thefursalon.com.auand please include photos of dogs you have groomed.All applicants must have the right to live and work in Australia.",https://www.seek.com.au/job/86034989?type=standard&ref=search-standalone#sol=5009ad9f6cde76e753d1fad381a864e1b06bbe30
COMMIS CHEF/CHEF DE PARTIE - BURNT ORANGE MOSMAN,Burnt Orange,"Mosman, Sydney NSW","$65,000 – $80,000 per year","Looking for an ambitious young chef to join our team. If you want to learn from the best and be encouraged to think creatively, contribute to menu development and propose new dishes then Burnt Orange is the family for you. Must have at least 2 years kitchen experience and be able to run a section.Burnt Orange is housed in a beautiful sandstone mansion overlooking Sydney Harbour, serving breakfast, lunch and high tea. This is a well-run kitchen with low stress and a highly reputable organisation. Minimal night time work and great work/life balance - you'll be working with an amazing and enthusiastic team lead by a talented Head Chef in an iconic Sydney venue - don't miss this opportunity! Check out our website www.burntorange.com.auThe successful applicants will,- Have trade qualifications with varied experience with a la carte service and busy restaurants- Be creative and passionate about food- Be able to work under pressure whilst still consistently producing excellent food- Be reliable, have a positive attitude and be a team player!We will offer- Opportunity to work with an amazing Head Chef- A stable position with a chance to move up quickly- Professional team oriented work environment-Training and development and the opportunity to use excellent produce- Free Parking nearby, we are only 20 mins from CBD-Sponsorship available for the right candidate- Great Starting Salary  + Super+ Tips",https://www.seek.com.au/job/85992886?type=standard&ref=search-standalone#sol=5419857be6e2dd747469126b5e968c88d0213ab7
Butcher,Pacific International Consulting Pty Ltd,"Cairns, Cairns & Far North QLD","$75,000 – $95,000 per year","You Solved partners with trusted companies across regional Australia to place top-tier international and domestic talent in long-term skilled trade roles. We are actively seekingCommercial Butchersto fill multiple roles with our clients—reputable, well-established employers in the food production and retail sectors.Our clients are known for offering modern and well-equipped facilities, long-term job stability, and exceptional work environments. To attract the best candidates, they are offeringcompetitive hourly rates, visa sponsorship, and relocation support.Why Join Through You Solved & Pacific Education & Visa Services?You Solved is an international recruitment and migration agency that specializes in employer-sponsored visa placements. If you're seeking a new life and career in Australia, we’ll match your skills with an ideal employer and provide expert migration support along the way.Our clients offer:Sponsorship on the Subclass 482 visa,with a clear pathway to permanent residencyRelocation and housing assistanceFuture support with family relocation and visasExcellent working conditions and long-term career opportunitiesDiverse work environments across commercial, industrial, and retail food productionThe RoleAs aCommercial Butcher, you’ll be responsible for selecting, cutting, trimming, preparing, and arranging meat for sale and supply. You'll operate meat and smallgoods processing machines and manage the processes involved in the production of smallgoods.Key Duties Include:Select, cut, trim, and prepare a variety of meats for retail and wholesale supplyOperate and maintain meat and smallgoods processing machineryEnsure the efficient and safe production of smallgoodsMaintain high hygiene and safety standards in the workplaceProvide excellent customer service, especially in retail or commercial environmentsManage inventory and stock levels of meat productsAdhere to workplace health and safety policiesKey Requirements:Trade qualification in Butchery or a related field preferredProven experience in commercial butchery, including cutting, processing, and smallgoods productionStrong understanding of meat processing machinery and techniquesAbility to work efficiently and safely in a fast-paced environmentWillingness to relocate to regional AustraliaAbility to pass drug and alcohol testingThis position offers ahigh salarywith excellent long-term career opportunities. Only the most suitable candidates will be contacted. This is not an entry-level or junior position.",https://www.seek.com.au/job/85760287?type=standard&ref=search-standalone#sol=f65f65f07fd06c2f8b5c33774aa918b921009bcf
Assistant Accountant - Mandarin Speaking | Sponsorship available,BrillianTalent,Sydney NSW,"$65,000+super",My Client is one of the fastest-growing commercial property asset management companies in AustraliaJob ResponsibilitiesHandle daily bookkeeping and quarterly GST submissionsReview monthly reports and organize financial dataAssist and coordinate with external accountants and auditorsSupport asset acquisition work and complete information collection and filingOther finance-related support tasksRequirementsCurrently holding a valid visa that allows work in AustraliaAccounting-related degree from a local Australian universityProficient in various office softwareCA/CPA qualification preferredFamiliarity with accounting software such as QuickBooks and XERO is a plusExperience at a Big Four accounting firm is a plusExperience in retail or commercial property finance is a plusSponsorship available!!!Ready to apply?Apply now or contact our recruitment consultantJane Zhengatjane.zheng@brilliantalent.com.auOnly shortlisted candidates will be contacted.,https://www.seek.com.au/job/85953778?type=standard&ref=search-standalone#sol=fec4bf8f99cc64c56a6510fda511004ea32867d7
Restaurant Supervisor,Soak Hospitality,"Dampier, Port Hedland, Karratha & Pilbara WA","$70,000–$80,000 + performance bonuses","We’re on the lookout for a confident and capable Front of House Supervisor to join our passionate team at Soak in Dampier.This is a full-time, hands-on role perfect for someone who loves hospitality, thrives in a fast-paced environment, and leads with a calm, positive, and team-first attitude. If you’re looking to step into leadership — or take the next step towards a Restaurant Manager role — this could be your opportunity.About the RoleYou’ll be responsible for the smooth day-to-day running of the café floor across breakfast, lunch, and dinner services. This includes leading service, guiding and supporting the front-of-house team, liaising with the kitchen, and ensuring every guest has an exceptional experience.You’ll report directly to the Restaurant Manager and work closely with the leadership team. We’re a hands-on venue, so expect to rotate between sections, make coffees, run drinks, jump behind the bar, and get involved with events.Key Responsibilities• Oversee service and team performance during shifts• Support, train, and guide FOH team members• Coordinate with the kitchen to maintain smooth, timely service• Handle customer enquiries, bookings, and feedback professionally• Maintain cleanliness, presentation, and service standards• Foster a positive, proactive, team-focused culture• Contribute to a guest-first experience across every serviceBonus Points (Highly Regarded, Not Essential)• Confident email and admin skills, including professional customer correspondence• Familiarity with POS setup and basic troubleshooting• An understanding of “the numbers” — how to read the room, the sales, and the rosterWhat We’re Looking ForWe value attitude, communication, and energy just as much as experience. You’ll lead by example, stay calm under pressure, and bring professionalism without ego. You’re approachable, solutions-focused, and someone the team naturally looks to when things get busy.This is an ideal stepping stone for someone with their sights set on Restaurant Management. Sponsorship may be available for the right candidate ready to grow long-term with the business.Perks• Full-time hours with great lifestyle balance in the Pilbara• A strong, supportive team culture• Opportunity for career growth and development• Accommodation available for the right candidate• Work at an award-winning venue in one of WA’s most scenic coastal townsWhy Soak?🏆 Best Hospitality Business 2022🏆 Best Business (11–20 Employees) 2023 & 2024🏆 People’s Choice Award Winner 2023🏆 One of WA’s Top 5 Regional Businesses (11–20 Employees) 2024We’re proud to offer a premium yet relaxed Pilbara hospitality experience, known for our vibrant café culture, outstanding events, and loyal community following.",https://www.seek.com.au/job/86319183?type=standard&ref=search-standalone#sol=ca708c14421ed78921d2a57effbd4698dd636dda
Civil Construction Workers – Expressions of Interest,HSS Recruitment,Perth WA,$50 – $65 per hour,"We’re calling forExpressions of Interest from experienced civil construction workersfor a range of upcoming and ongoing projects across Western Australia.Whether you're looking for FIFO or Perth metro work, we want to hear from you. We’re recruiting for a variety of positions with potential for ongoing full-time employment for the right people.Some of the roles we are looking to fill include:PlumbersCarpentersDrainersConcretorsPipelayersFormworkersSteelfixersPlant & Machinery OperatorsHR / HC / MC Truck Drivers (Hiab experience an advantage)What You’ll Need:A minimum of 12 months’ experience in construction, civil or miningAustralian-recognised trade certificates (if applicable)Relevant operating tickets for machinery and plantWhite CardNational Police ClearanceCurrent Australian Driver’s LicenceAbility to pass a pre-employment medical and drug & alcohol screenWhat’s on Offer:Hourly rates between $50–$65, depending on experience and skillsetRosters vary depending on location and project – tell us your preferencesRoles available for immediate start as well as upcoming projectsOptions for short-term, long-term or project-based workTake control of your next move– apply now and tell us what you’re looking for. Whether it’s a specific role, rate, roster, or location, we’ll help match you to the right opportunity.How to Apply:Click""Apply for this job""and submit yourup-to-date resumeoutlining your relevant work history, equipment operated, any current inductions andcontactable referees.Why Choose HSS Recruitment?With over 30 years' combined experience in the mining, resources and civil sectors,HSS Recruitmentis your trusted partner for connecting top talent with rewarding opportunities across Western Australia.Please note:Only applicants withAustralian Working Rightswill be consideredSponsorship is not availableOverseas applications will not be considered",https://www.seek.com.au/job/86304613?type=standard&ref=search-standalone#sol=e3c66fd7a1050efc687a5afc2278a84d67ad4c93
Warehouse Storeperson | Cospak Newcastle,SMYA Pty Ltd,"Beresfield, Newcastle, Maitland & Hunter NSW",N/A,"San Miguel Yamamura Australasia (SMYA)is an established leader in packaging and contract wine filling in Australia and New Zealand.  With 40 years' experience in the Australasian marketplace.Part of the SMYA Group,CospakPty Ltd has grown substantially to the 250+ staff working in Manufacturing, Warehousing, Design, Sales and Administration across all Australian states, New Zealand and China.We have an excitingfull time opportunityfor an experiencedWarehouse Operatorto join our Beresfield branch.Key Responsibilities include but are not limited to:Stock controlensuring all inwards and outwards good have correct documentationReceipt ofinwards goodsandstorageDispatchof outwards goodsOperation of machinery inclusive of counter balance and high reachforkliftstoload,unload trucks,pickandmove stockaround the warehousePerformqualitychecks to ensure inwards goods are in tact and outwards goods are free from damageSkills RequiredForklift Licenceand Forklift driving experienceHigh ReachForklift experience1-2 years experience in a warehouse environment including pick/packing experienceUnderstanding ofSafety and QualityAttention to detailand ability to effectively prioritise workloadAbility to follow instructions accurately and work unsupervisedAbility towork well in a team environmentand contribute positively to the warehouse teamManual Handlingup to 20kg requiredComputer literateStrong work ethicRF scanningexperienceHours will varyMonday to Friday between 7.30am and 4.00pm.  Flexibility will be required.The successful candidate must be willing to undertake a pre-employment medical as part of the recruitment process.This is an excellent opportunity for an experienced Storeperson looking for a new challenge in a growing company. If this is you, press the apply now button and attach your resume.Please note that only short listed candidates will be contacted andapplicants must have the legal right to live and work in Australia.Visa sponsorship is NOT available for this role.",https://www.seek.com.au/job/86176875?type=standard&ref=search-standalone#sol=577e1d0d7d356aeacdd5a5ad14c297cacc47312f
Full-Time Cook,Piccolo Cucina,"Cairns, Cairns & Far North QLD","$70,000 – $85,000 per year","Piccolo Cucina is hiring!Piccolo Cucina is an Italian restaurant located in the heart of Cairns serving authentic Italian cuisine including handmade pastas in a friendly and energetic atmosphere.We are looking for a professional Full-Time Cook with a positive attitude to join our team at Piccolo Cucina. We pride ourselves on delivering a high level of service and are looking for additional kitchen team members to contribute to an excellent workplace culture. Full-time position available for immediate start.JOIN OUR FAMILYFlexible Working HoursExcellent Workplace CultureOpportunity for SponsorshipGain experience at one of the most respected restaurants in CairnsAdd your Personal Creativity to our Menu and SpecialsOur Opportunity:You will be supporting the Head Chef/Sous Chef in contributing to a successfully run kitchen as well as the execution of great food.With previous experience in a fast moving and highly demanding environment, you will be a resilient, highly driven and a quick thinker with a solid kitchen background.Key Responsibilities:Preparing, cooking, and presenting dishes to the Piccolo Cucina standard.Assist in the development of a strong team.Ensuring you and your team have high standards of food hygiene and follow the rules and regulations of health and safety.Monitoring portion and waste control to maintain profit margins.The Successful Applicant:The ability to work independently and as a team player.Great time management skills.Minimum of 3 years’ experience as Cook or ChefImpeccable grooming and personal presentation.High standards of professionalism.Experience of working in a fast-paced environmentMinimum Certificate IV in Commercial Cookery requiredSponsorship:Piccolo Cucina is currently an approved sponsor for various positionsA sponsorship would be considered for the correct applicantIf you would like to join the Piccolo Cucina family, please apply via the link or send your resume tochef@piccolocucina.com.au. Alternatively, feel free to pop in for a friendly chat with your resume about the positions we have available.",https://www.seek.com.au/job/86218297?type=standard&ref=search-standalone#sol=be51ab872397a41473e4ede116c77ebbe49178b3
Warehouse/Storeperson,Ateq Consulting,"Ringwood, Melbourne VIC","$58,000 – $62,500 per year","Warehouse/Store PersonFull Time PositionWe are a manufacturer and distributor of veterinary vaccines with our warehouses are located in Bayswater and Ringwood and we are currently seeking an energetic and friendly person to join our team working across both sites. You will be required to have a reliable car to transport yourself between sites when required.Onsite parking provided.Australian owned manufacturer with 35 years in the industryYour duties will include but not be limited to:-Maintaining a clean, professional and safe warehouse in line with OH&S requirements at all times-Loading/unloading vans and trucks both by hand and with a forklift-Goods inwards, including following sterilization guidelines for items entering the warehouse-Performing rolling stock take-Organisation/tidiness of warehouse-Packing orders into dry ice/liquid nitrogen-Heavy lifting will be requiredThe successful candidate will require excellent communication and attention to detail.They will also be required to-Have a current Australian driver's license-A current forklift license-Be able to demonstrate attention to detail, especially batch numbers and counting.-Be reliable, hardworking and punctual-Must have full working rights in Australia (no visa sponsorship available)-Have a good level of fitness-Able to work in a cold environment.Only candidates that are short listed will be contacted.Please apply online with your resume and cover letter.",https://www.seek.com.au/job/86146794?type=standard&ref=search-standalone#sol=81f70f047aecd39f3754450d394998ef7eb737f8
Business Development Representative,Contentful Global,Sydney NSW,"$150,000 per year (Base+Commission)","About the opportunityAs a Strategic Business Development Representative joining our sales team, you’ll have a direct impact on the growth of the company by managing our lead pipeline and identifying leads and sales opportunities with an emphasis on driving outbound activities. In addition, you will refine our sales prospecting techniques and qualify new incoming leads.Work Visa sponsorship is currently not available for this role.What to expect?You effectively maintain active engagement with our existing leads through an adaptable and personalized approachPartner with, and help to build the pipelines of Enterprise and Senior Account Executives who will assist in developing and sharpening your skills through consistent feedbackDocument, map and strategize using various details including use case, stakeholders, vendor decision process, next steps to better understand how to prospect and find new opportunities in new and existing accounts.Prioritizing opportunities and applying appropriate internal resources to move accounts through the customer journey.Use and keep Salesforce.com  up-to-date for lead management and sales forecasting as well as engaging with other sales tools such as outreach, linkedin, zoominfo, etc.Ensure a timely follow-up with all prospects in a very exciting and fast paced environmentAchieve monthly and quarterly goals of qualified opportunities and meetings booked for the Account ExecutivesWhat you need to be successful?Previous BDR/SDR or Account Executive experience in a similar or adjacent industry.Self-starter, doesn’t wait for things to happen, but pro-actively takes action to move the conversation forwardAble to join occasional in-person events and in-office collaboration with the wider team.Coachable, competitive nature with a strong desire to grow your career in salesStrong collaboration with teammates and prospective customersExcellent oral and written communication skillsSeeks to understand the customer’s needs, objectives, and challengesActive listener and good note-takerAbility to proactively qualify customer needsAbility to understand the business opportunity, and to articulate it to the AE team, by understanding the prospect’s use case and requirements well and how Contentful fits into the customer’s goalsAbility to follow the set processes, update the relevant systems diligently, and make suggestions on improvements where requiredDetail-oriented and data-drivenTechnical understanding and keen interest in technologyCustomer-first mindset, where you and the company win by helping our customers to be successfulCollege / University Degree educated or equivalent work experienceWhat's in it for you?Join an ambitious tech company reshaping the way people build digital experiencesHealthcare packages and time-off programs are available through Remote.com or your contracting agency.Full-time employees receive Stock Options for the opportunity to share in the success of our companyA personal education budget to improve your skills and grow in your careerEnjoy a full range of virtual and in-person events, including workshops, guest speakers, and fun team activities, supporting learning and networking exchange beyond the usual work dutiesAn annual wellbeing stipend to care for your physical, financial, or emotional healthA monthly communication phone/internet stipend and phone hardware upgrade reimbursement.New hire office equipment stipend for hybrid or distributed employees. Get the gear you need to work at your best.",https://www.seek.com.au/job/86035124?type=standard&ref=search-standalone#sol=1d01576723b874817ef5b262d05dda85e1d62b0a
Chek/Cook,Baker and Farmer,"Pottsville, Lismore & Far North Coast NSW","$60,000 – $75,000 per year","Join Our Team at Baker and Farmer / Pottsville Bakehouse!We're on the lookout for a passionate, skilled Chef or experienced Cook to become part of our vibrant kitchen team at Baker and Farmer / Pottsville Bakehouse!If you love working with fresh, seasonal ingredients, thrive in a fast-paced environment, and value being part of a supportive and fun crew — this is the opportunity for you.👨‍🍳What We’re Offering:AFull-Time positionin one of Pottsville’s most loved venuesA chance to join a passionate, close-knit team that feels like familyA workplace that values quality, creativity, and a great vibe👀We’re Looking For Someone Who:Has 2+ years experience in a similar chef or cook roleIs available on weekends and public holidaysBrings a positive attitude, is team-oriented, and has an eye for detailCan work independentlySponsorship available for the right candidate and if is already in Australia.📧How to Apply:Think you're the perfect fit? Or know someone who might be? Send your resume tomanagement@bakerandfarmer.com.auPlease note: Only shortlisted applicants will be contacted.",https://www.seek.com.au/job/86091304?type=standard&ref=search-standalone#sol=635c6a3e780959c5ba5b16c8221d8c6f177994a8
Roof Plumbers - 482 Visa Sponsorship | NZ Welcome,Lorg Talent,Brisbane QLD,N/A,"Are you a qualified and experiencedMetal Roof Plumberalready in Australia and looking to stay long-term?Lorg Talent is recruiting on behalf of two reputable roofing contractors with strong pipelines of residential and commercial projects.Whether you are anAustralian citizen,permanent resident,New Zealand citizen, or an overseas candidateeligible for Subclass 482 Temporary Skill Shortage visa sponsorship, we have full-time, permanent roles ready for you inPerth and Brisbane.Visa sponsorship is available for eligible applicants based in Australia or overseas.LocationsPerth, Western AustraliaBrisbane, QueenslandJob Opportunities – OverviewPerth (WA):Variety of residential, strata, and commercial projects in the Perth Metro areaRe-guttering, leak detection and repairs, re-roofing, skylight installations, and insurance workCompany vehicle, tools, and fuel card providedBrisbane (QLD):New-build residential homes (single and double-storey)Installation of metal roofing, fascia, gutters, and downpipesWell-organised sites with consistent work across South East QueenslandSite Supervisor position also available– oversee teams, manage job schedules, and ensure site qualityCompany car and fuel card providedfor the Supervisor roleWhat We Are Looking ForCurrently in Australia (Australian citizens, permanent residents, 482 visa holders, Working Holiday Visa holders, or NZ citizens)Minimum 3 years of roofing experience (residential or commercial)Skilled in metal roofing systemsAble to read plans and work safely at heightsAustralian recognised trade certificate or UK trade qualificationValid driver’s licence (Australian or transferrable international licence)Site leadership experience (for Supervisor applicants)What is on OfferSecure a long-term role with visa sponsorshipFull-time, permanent employment with reputable employersCompetitive pay and reliable work across varied projectsStep into a long-term career in Australia with some relocation support if neededAbout Lorg TalentLorg Talent is a specialist recruiter connecting tradespeople across Australia with trusted employers. We manage the recruitment and sponsorship process from start to finish and support candidates based either onshore or overseas who are ready to take the next step towards a long-term career in Australia.Apply Now:If this sounds like the right fit for you, apply now — our team will be in touch with suitable candidates to explore the opportunity further.",https://www.seek.com.au/job/85964211?type=standard&ref=search-standalone#sol=149cbd89bfa39158fed9052f2b4c5d61b02cfa0a
Sponsorship and Grants Officer,City of Perth,Perth WA,"$98,141 - $103,949 per annum plus super","$98,141-$103,949 per annum, plus superannuationFull-time, permanentCBD LocationAs the capital city of Western Australia, the City of Perth is a Local Government that is ambitious for the future. To achieve our aims, we recruit the very best people who understand the City exists to enable and deliver the aspirations of the community.The OpportunityAs a Sponsorship and Grants Officer in the City of Perth, you will work closely with internal and external stakeholders to ensure the transparent, best-practice and centralised administration of the City’s sponsorship and grants programs including but not limited to events, arts, economic development, sustainability, heritage, and business improvement. The Officer facilitates the outgoing sponsorship and grant process and annual program which is established to drive outcomes against the Strategic Community Plan and City strategies including the Event Strategy, Economic Development Strategy and Sustainability Strategy. The Officer manages enquiries, relationships with key stakeholders, program administration and works to maximise the commercial and community opportunities which arise out of City sponsorships and grants.Reporting to the Coordinator within our Sponsorship and Grants team, your responsibilities would primarily include:Provide specialist funding advice to applicants and internal stakeholders. This includes ensuring high quality submissions that meet the City’s priorities as outlined in the Strategic Community Plan, Event Strategy, Economic Development Strategy, and Sustainability Strategy;Foster collaboration with internal business units that have strategic objectives aligned to the sponsorship and grants program;Prepare and review external communications relating to the City’s sponsorship and grant programs including guidelines, website and promotional materials; andApprove use of the City’s logo and other collateral; and oversee the allocation of City signage to ensure high level representation at sponsored events.About YouTo succeed in this role, you will possess:Comprehensive knowledge and extensive experience managing sponsorship or grant programs to ensure they meet corporate objectives and deliverables;Experience in preparing and analysing medium to complex reports and data;Experience working in a complex multi-disciplinary environment with diverse stakeholder groups; andExcellent written communication and report writing skills.If your experience and capabilities match these criteria, we welcome your application.Above all, you will live our values of Commitment, Teamwork, Courage and Respect that allow us to come together to lead and support the community.Please view the attached Application Pack to learn more about the role and working at the City.EligibilityTo be eligible to work for us, you will need to demonstrate:A right to work in Australia (e.g. a birth certificate, current passport or current visa);A current ‘C’ class Australian drivers licence; andA satisfactory National Police Clearance (dated within 3 months).How to ApplyPlease apply online by clicking the ‘APPLY’ button below, which will direct you to the City’s application questionnaire.When prompted, please submit: your current resume; a cover letter that concisely addresses the Selection Criteria; and any relevant qualifications or certifications. Remember, less is more!The Application ProcessApplications for this position will close at5PM, AWST on Sunday, 10 August 2025. Applications may be considered, and interviews conducted prior to, the closing date.Applicants may also be considered for similar positions within the City of Perth.We’re continuing to build a gender-equitable team and a culture that’s just as diverse, inclusive and welcoming as the City of Perth Community. We encourage applications from people of all ages, cultures (including Aboriginal and Torres Strait Islander peoples), abilities, sexual orientation and gender identities.Canvassing of Elected Members during the recruitment process will disqualify your application.",https://www.seek.com.au/job/86059369?type=standard&ref=search-standalone#sol=8cebf89cf5e9d2304cadb1460953d022734d71fe
Sous Chef or CDP,The Basin Dining Room,"Mona Vale, Sydney NSW","$75,000 – $90,000 per year + genours tips","The Basin Dining Room in Mona Vale is looking for a Sous chef or Chef de Partie.We are looking for someone to work directly under our head chef to help execute his vision and lead the team. Hands on leadership is a must for this role.Ideally, we are looking for someone aspiring to achieve great things, have input and make YOUR mark in the industry with us. We are open to molding our kitchen to your vision.Qualities we are looking for:-A love of food. We want someone with the same passion for produce and eating out as we do.-Being a great cook. It goes without saying we want someone who can produce delicious food.-Have goals. We want to be a part of your journey and help you achieve goals whilst running our kitchen.-Enjoys mentoring a team of chefs and leads by example. We have a great crew of chefs and want someone who is keen to lead them.We are located in upper northern beaches, so please do not apply if this is too far for you to travel.Sponsorship is possible in the future; however, we would require a minimum of 6 months working with us prior to discussing sponsorship. THIS POSITION IS ONLY OPEN TO APPLICANTS CURRENTLY IN AUSTRALIA.",https://www.seek.com.au/job/86051743?type=standard&ref=search-standalone#sol=37561d6c0bdbdd3b5925b1abe56c32a1df85271d
Chefs - All Grades Wanted,Frontline Hospitality Western Australia,Perth WA,$60k - $120k p.a. + PLUS SUPER,"We have a number of amazing opportunities for all levels of Chefs - Head, Sous & CDP's in a range of top-quality venues and locations across Western Australia.Our clients own and operate some of WA's top venues and offer generous salaries and conditions, opportunities for promotion and growth, and the chance to work with some of the best names in the business.Our regional clients offer FREE or heavily subsidised accommodation and FREE meals - imagine how much you could save!Call us for a confidential chat about our available roles and how we can help you find your dream role.URGENTLY SEEKING:CDP, Sous & Head Chefs for several Perth metro venuesSOUS for Mid-West regional rolesCDP, Sous & Head Chefs for regional roles (Kimberley and South West)**Unfortunately, we are unable to offer sponsorship. **You must have full work rights in Australia to apply or be seeking a transfer of your current sponsorship. Due to the urgency of these roles candidates with working rights residing in Australia will be given priority.For further information please call Paula on0493 220 366or Abbie on0410 919 737To apply online, please click on the apply button.Alternatively, for a confidential chat please contact:Paula Sutherlandon+61 493 220 366orwahospitalityteam@frontlinerecruitmentgroup.comSeeking a job change or just looking around?Why not give us a call or register online and upload your resume to see how we can help you find your dream job!www.frontlinerecruitmentgroup.com/candidates/submit-resumeDid you know?Frontline Hospitality has offices across Australia and not all of our roles are advertised on job boards. Head to our website to view all of our available positions.www.frontlinerecruitmentgroup.com/frontline-hospitality-western-australiaFrontline Hospitality Recruitment44 Kings Park RoadWest PerthWA 6005Tel:0862 634 433Email:wa@frontlinehospitality.com.auFacebook:www.facebook.com/FrontlineHospitalityWAInstagram:www.instagram.com/wafrontlinehospitality",https://www.seek.com.au/job/86118841?type=standard&ref=search-standalone#sol=7b3d28d7e1045bff890c1f7ff86406d190914b6e
Herd Manager,Agribusiness Recruitment Pty Ltd,"Mount Gambier, Mt Gambier & Limestone Coast SA","$70,000 – $100,000 per year","Full-Time | Salary: $70,000–$100,000 + Super | On-Farm Housing AvailableVisa Sponsorship (482 / 494 / SA DAMA) Available for Eligible CandidatesAre you a passionate and experienced herd manager ready to take the next step in your dairy career? Join Mona Dairy, a progressive family-run sharefarming operation located in Mt Gambier, South Australia— a thriving regional centre nestled between Adelaide and Melbourne.We’re currently seeking a hands-on Herd Manager to lead the day-to-day operations of our 600+ cow dairy farm, managing livestock health, pasture utilisation, milking systems, and a dedicated on-farm team. This is your chance to make a real impact on a high-performing business with modern pivots, efficient workflows, and a supportive leadership team.Key Responsibilities:Manage herd health, breeding programs, calving and calf-rearingOversee milking processes, plant hygiene, and effluent systemsLead pasture rotations, irrigation schedules, and feed budgetingSupervise and mentor staff, maintain safety and complianceWork alongside the Managing Director to hit production and financial targetsWe’re Looking For:A proven leader with experience managing large-scale dairy operationsStrong knowledge of animal husbandry, pasture systems, and irrigationA practical mindset, with the ability to solve problems on the flyA team player who can train, lead, and inspire othersValid car licence (essential); relevant ag qualifications (desirable)What We Offer:Competitive salary package: $70,000–$100,000 + super (based on experience)On-farm accommodation (subject to availability)Work vehicle for operational useLong-term job security and pathway to farm leadershipVisa sponsorship (TSS 482, 494, or SA DAMA) for suitable candidatesWhy Mt Gambier?Live and work in South Australia's thriving southeast—renowned for its green pastures, affordable living, and friendly community. Enjoy the best of regional life with excellent schools, healthcare, sporting clubs, and access to the coast and national parks.To apply, submit your resume and a cover letter detailing your experience and availability to:apply@agrecruit.com.au(Recruitment by Agribusiness Recruitment Pty Ltd on behalf of Mona Dairy)",https://www.seek.com.au/job/85982929?type=standard&ref=search-standalone#sol=deae1835fec23a03787486e0decb2241f457c024
